User,Tweet
Obama,No jump shots. No ferns. No memes. Not this time. I’m going to give it to you straight: If you need health insurance for 2019 the deadline to get covered is December 15. Go to http://HealthCare.gov  today and pass this on — you just might save a life.pic.twitter.com/8mHMsXGY0g
Obama,Happy Hanukkah! Over these eight nights we draw inspiration from light that can overpower any darkness and recommit ourselves to building a brighter future for our families our communities and our world. Chag Sameach from the Obama family to yours.
Obama,America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today they are also filled with gratitude. Our thoughts are with the entire Bush family tonight – and all who were inspired by George and Barbara’s example.pic.twitter.com/g9OUPu2pjY
Obama,I am grateful for the next generation of leaders -- the young people who are tolerant creative idealistic and doing the work to create the world as it should be. Who understand that hope requires action. From the Obama family to yours Happy Thanksgiving.https://twitter.com/ObamaFoundation/status/1065309361906561025 …
Obama,Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash today. Happy Thanksgiving everybody!https://twitter.com/FoodDepository/status/1065001878352740353 …
Obama,When someone shares their story we see the world through their eyes. I’m looking forward to hearing a few from leaders around the world and sharing my own at the @ObamaFoundation Summit in Chicago. Tune in at http://Obama.org .pic.twitter.com/sOllDsDA1Z
Obama,Our future depends on all our young people including our boys and young men of color being able to achieve their dreams. Today I’m proud to share @MBK_Alliance’s first investments in communities devoted to this mission. Get inspired:http://obama.org/MBKA/communities …
Obama,Of course @MichelleObama’s my wife so I’m a little biased here. But she also happens to be brilliant funny wise – one of a kind. This book tells her quintessentially American story. I love it because it faithfully reflects the woman I have loved for so long.pic.twitter.com/X0i9jja4TE
Obama,Michelle and I are heartbroken for everybody who’s lost so much in California and grateful for the heroism of the firefighters who’ve been risking their lives around the clock to save others. Please do what you can to help our fellow Americans in need:https://nyti.ms/2DdQB3c 
Obama,To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your service and sacrifice. But all of us can do our best to live up to the American values of service responsibility generosity and citizenship that you helped defend.
Obama,Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The change we need won’t come from one election alone – but it is a start. Last night voters across the country started it.pic.twitter.com/gNk4WkeJUn
Obama,Today is the day. Today it’s your turn to raise your voice to change the course of this country for the better. So make it count. Get out there and vote. Go to http://IWillVote.com  or call 833-336-VOTE to confirm where you can vote and check voting hours.pic.twitter.com/6xdMbKhwkr
Obama,If you take that power and vote something powerful happens. Change happens. Hope happens. And with each new step we take in the direction of fairness and justice and equality and opportunity hope spreads. Go vote!http://IWillVote.com 
Obama,When you vote you have the power to make it easier for a student to afford college and harder for a disturbed person to shoot up a classroom. When you vote you have the power to make sure a family keeps its health insurance.
Obama,When you vote you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally.
Obama,When we've been at such crossroads before Americans have made the right choice. Not because we sat back and waited for history to happen -- but because we marched and mobilized and voted. We made history happen.
Obama,Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.
Obama,Speaking of preexisting conditions open enrollment starts today. If you or someone you know needs health care visit http://HealthCare.gov . Thanks to financial help most people can find plans for $75/month or less so check out your options and find a plan that works for you.pic.twitter.com/R52X9sgkbP
Obama,Elections matter. You have the power to protect a family’s health care. Make a plan grab some friends and vote: https://iwillvote.com 
Obama,While we're talking about preexisting conditions the ACA is the law that finally protected your coverage for preexisting conditions. Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them.https://www.thecut.com/2018/10/republicans-dont-protect-preexisting-conditions.html …
Obama,Not sure who and what you can vote for? Head over to http://votesaveamerica.com/ballot  to look up your state learn who's running to represent you which measures you can help decide and more. Read up and get ready to vote on November 6.
Obama,Your vote can decide the health care of millions. Your voice can determine the character of our country. You have power — use it! In most states you don't even have to wait until Election Day to cast a ballot. Find out where you can vote before Nov. 6: http://IWillVote.com pic.twitter.com/hWkFHqi49K
Obama,We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look love or pray differently. And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun.
Obama,The last presidential election turned on fewer than 100000 votes in three states. More people go to Coachella. There’s no good excuse not to vote. Head over to http://Vote.org  to check your registration get your absentee ballot and find out where to vote on November 6.https://twitter.com/attn/status/1052577837968846848 …
Obama,America is always at our best when we look out for each other. Please do what you can to help people recover and rebuild from Hurricane Michael.https://www.charitynavigator.org/index.cfm?bay=content.view&cpid=6806 …
Obama,I’m so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education and I know that the @GirlsAlliance will be another great chapter in her effort to get girls the opportunities they deserve.https://twitter.com/girlsalliance/status/1050358965702414336 …
Obama,Congratulations to Drew Brees on the all time passing record. Always a class act.
Obama,Happy Anniversary @MichelleObama. For 26 years you’ve been an extraordinary partner someone who can always make me laugh and my favorite person to see the world with.pic.twitter.com/s8xoZ9j2YR
Obama,Today I’m proud to endorse even more Democratic candidates who aren’t just running against something but for something—to expand opportunity for all of us and to restore dignity honor and compassion to public service. They deserve your vote:pic.twitter.com/NO5jnhX3XD
Obama,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.pic.twitter.com/AVtuBPHdr2
Obama,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.
Obama,The first class of Obama Fellows is full of leaders like Keith—hardworking innovative and dedicated to partnering with their communities to drive transformational change.https://twitter.com/ObamaFoundation/status/1040634794764320773 …
Obama,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can’t overcome and no act of terror can ever change who we are.
Obama,Today I’m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: http://go.illinois.edu/live 
Obama,Yesterday I met with high school students on Chicago’s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we’re proud of these young people.pic.twitter.com/dQnDgswCj5
Obama,Congratulations to Hawaii for winning the Little League World Series! You make America very proud. https://twitter.com/LittleLeague/status/1033829386116640773 …
Obama,Our statement on the passing of Senator John McCain:pic.twitter.com/3GBjNYxoj5
Obama,Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade—our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace.pic.twitter.com/bfASqKlLc5
Obama,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the “million different centers of energy and daring” that ultimately combine to change the world for the better.https://twitter.com/RFKHumanRights/status/1026456623311716354 …
Obama,I’m confident that together they’ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes.
Obama,Today I’m proud to endorse such a wide and impressive array of Democratic candidates – leaders as diverse patriotic and big-hearted as the America they’re running to represent:pic.twitter.com/gWzalQhFas
Obama,Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just.pic.twitter.com/GJDuOs1hkH
Obama,This week I’m traveling to Africa for the first time since I left office – a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I’d recommend for summer reading: https://www.facebook.com/barackobama/posts/10156007456406749 …
Obama,Congratulations to the @Capitals! This @NHLBlackhawks fan knows what it’s like to lift that cup – and I’m happy for all the Caps fans who cheer so hard for their team and for a team that celebrates so hard with its fans.
Obama,“Low plastic stool cheap but delicious noodles cold Hanoi beer.” This is how I’ll remember Tony. He taught us about food — but more importantly about its ability to bring us together. To make us a little less afraid of the unknown. We’ll miss him.pic.twitter.com/orEXIaEMZM
Obama,This National Gun Violence Awareness Day show your commitment to keeping our kids safe from gun violence. Then for everyone we’ve lost take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes.https://twitter.com/ofa/status/1002554110519009280 …
Obama,We can never truly repay the debt we owe our fallen heroes. But we can remember them honor their sacrifice and affirm in our own lives those enduring ideals of justice equality and opportunity for which generations of Americans have given that last full measure of devotion.pic.twitter.com/pRxwmaMClL
Obama,This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle and I are grateful to Chicagoans and the Chicago City Council for making it happen.http://www.chicagotribune.com/news/obamacenter/ct-met-city-council-obama-pres-dential-center-20180523-story.html …
Obama,Happy Mother’s Day to every mom out there especially the remarkable moms in my life @MichelleObama and my mother-in-law Marian Robinson.pic.twitter.com/n65fyWg7O8
Obama,There are few issues more important to the security of the US than the potential spread of nuclear weapons or the potential for even more destructive war in the Middle East. Today’s decision to put the JCPOA at risk is a serious mistake. My full statement: https://www.facebook.com/barackobama/posts/10155854913976749 …
Obama,These talented young people will create a better future not just in Africa but around the world. I can’t wait to spend some time with @ObamaFoundation Leaders and look forward to honoring the Mandela legacy in Johannesburg this summer.https://twitter.com/obamafoundation/status/988475935463759878 …
Obama,Our statement on the passing of Former First Lady Barbara Bush:pic.twitter.com/MhTVYCL9Nj
Obama,Incredible to have a Chicago team in the Final Four. I’ll take that over an intact bracket any day! Congratulations to everybody @LoyolaChicago - let’s keep it going!
Obama,Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading us forward. Nothing can stand in the way of millions of voices calling for change.
Obama,Our most important task as a nation is to make sure all our young people can achieve their dreams. We’ve started this work with @MBK_Alliance but there’s so much more all of us have to do—government private sector academia & community leaders—to change the odds for our kids.https://twitter.com/upshotnyt/status/975774912764882946 …
Obama,In Singapore with young people who are advocating for education empowering young women and getting involved all over Southeast Asia with a profoundly optimistic commitment to building the world they want to see.https://twitter.com/ganeshmuren/status/975711729609920512 …
Obama,41: I like the competition. And the loyalty to the home team. - 44https://twitter.com/georgehwbush/status/974345353322483713 …
Obama,Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!
Obama,Just because I have more time to watch games doesn’t mean my picks will be better but here are my brackets this year: https://go.obama.org/2018bracket pic.twitter.com/gnNXw0Ysxr
Obama,Have fun out there among the stars.pic.twitter.com/S285MTwGtp
Obama,Four years ago @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians and Olympians at the White House. Today we’re so proud of him for winning gold and silver - while still representing the red white and blue.pic.twitter.com/evDCV7zehM
Obama,I got my start holding community meetings in Chicago so it was fun to be home for one tonight. Michelle and I want the world to come together on the South Side at a place built with local ideas values and hopes. That’s the @ObamaFoundation and Presidential Center.https://twitter.com/obamafoundation/status/968681134480674817 …
Obama,Young people have helped lead all our great movements. How inspiring to see it again in so many smart fearless students standing up for their right to be safe; marching and organizing to remake the world as it should be. We've been waiting for you. And we've got your backs.
Obama,Billy Graham was a humble servant who prayed for so many - and who with wisdom and grace gave hope and guidance to generations of Americans.
Obama,We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly say that we're doing enough to keep them safe from harm including long overdue common-sense gun safety laws that most Americans want then we have to change.
Obama,Happy Valentine’s Day @MichelleObama. You make every day and every place better.pic.twitter.com/aWvyytR7Mm
Obama,Dr. King was 26 when the Montgomery bus boycott began. He started small rallying others who believed their efforts mattered pressing on through challenges and doubts to change our world for the better. A permanent inspiration for the rest of us to keep pushing towards justice.
Obama,All across America people chose to get involved get engaged and stand up. Each of us can make a difference and all of us ought to try. So go keep changing the world in 2018.
Obama,Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks toiletries and food for those in need. Just this week Jahkil reached his goal to give away 5000 “blessing bags.” That’s a story from 2017.http://www.chicagotribune.com/lifestyles/stevens/ct-life-stevens-wednesday-10-year-old-helps-homeless-0927-story.html …
Obama,Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville VA. He wanted to do more so he decided to give away an entire season’s salary. That’s a story from 2017.http://www.philly.com/philly/sports/eagles/philadelphia-eagles-chris-long-donated-paychecks-charity-20171019.html …
Obama,Kat Creech a wedding planner in Houston turned a postponed wedding into a volunteer opportunity for Hurricane Harvey victims. Thirty wedding guests became an organization of hundreds of volunteers. That’s a story from 2017.https://www.click2houston.com/news/couple-postpones-wedding-inspires-help-for-harvey-victims …
Obama,As we count down to the new year we get to reflect and prepare for what’s ahead. For all the bad news that seemed to dominate our collective consciousness there are countless stories from this year that remind us what's best about America.
Obama,On behalf of the Obama family Merry Christmas! We wish you joy and peace this holiday season.pic.twitter.com/CNFUZrhrBj
Obama,There's no better time than the holiday season to reach out and give back to our communities. Great to hear from young people at the Boys & Girls Club in DC today.pic.twitter.com/FSJkj1qwg9
Obama,Happy Hanukkah everybody from the Obama family to yours. Chag Sameach!
Obama,Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health coverage. But it's up to all of us to help spread the word: Sign up through this Friday at http://HealthCare.gov .https://twitter.com/getuscovered/status/940289973869215749 …
Obama,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a lifetime of joy and happiness together.
Obama,From the Obama family to yours we wish you a Happy Thanksgiving full of joy and gratitude.pic.twitter.com/xAvSQwjQkz
Obama,ME: Joe about halfway through the speech I’m gonna wish you a happy birth-- BIDEN: IT’S MY BIRTHDAY! ME: Joe. Happy birthday to @JoeBiden my brother and the best vice president anybody could have.pic.twitter.com/sKbXjNiEjH
Obama,This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all the victors in state legislative county and mayors' races. Every office in a democracy counts!
Obama,Every election matters - those who show up determine our future. Go vote tomorrow!http://www.vote.org 
Obama,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.
Obama,We grieve with all the families in Sutherland Springs harmed by this act of hatred and we’ll stand with the survivors as they recover...
Obama,Starting today you can sign up for 2018 health coverage. Head on over to http://HealthCare.gov  and find a plan that meets your needs.https://twitter.com/getuscovered/status/925709097076449280 …
Obama,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.
Obama,Hello #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.
Obama,I’ll let you and @ladygaga handle the singing and we’ll handle the donations. There’s still time to give: http://oneamericaappeal.org .https://twitter.com/georgehwbush/status/922485638846443520 …
Obama,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this year’s hurricanes. Join us.https://twitter.com/americaappeal/status/921884880102875136 …
Obama,I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations John on receiving this year's Liberty Medal.
Obama,Michelle & I are praying for the victims in Las Vegas. Our thoughts are with their families & everyone enduring another senseless tragedy.
Obama,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country.pic.twitter.com/WBzcltmgqj
Obama,We're expanding our efforts to help Puerto Rico & the USVI where our fellow Americans need us right now. Join us at http://oneamericaappeal.org https://twitter.com/barackobama/status/905930380783620097 …
Obama,Prosecutor soldier family man citizen. Beau made us want to be better. What a legacy to leave. What a testament to @JoeBiden.https://twitter.com/joebiden/status/912459460316188673 …
Obama,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.
Obama,Coding is important – and fun. @CSforAll thanks for your work to make sure every kid can compete in a high-tech global economy.https://twitter.com/csforall/status/909870350690865152 …
Obama,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're getting started this fall.https://twitter.com/obamafoundation/status/907938000113467392 …
Obama,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.
Obama,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future.pic.twitter.com/nqYC1mjjTB
Obama,Americans always answer the call. http://OneAmericaAppeal.org pic.twitter.com/ktEvL6s89d
Obama,To target hopeful young strivers who grew up here is wrong because they’ve done nothing wrong. My statement: http://www.facebook.com/barackobama/ 
Obama,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one way you can help now.https://twitter.com/redcross/status/901546157238833152 …
Obama,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.
Obama,...For love comes more naturally to the human heart than its opposite. - Nelson Mandela
Obama,People must learn to hate and if they can learn to hate they can be taught to love...
Obama,No one is born hating another person because of the color of his skin or his background or his religion...pic.twitter.com/InZ58zkoAm
Obama,John McCain is an American hero & one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell John.
Obama,Health care has always been about something bigger than politics: it's about the character of our country. https://www.facebook.com/barackobama/posts/10154996557026749 …
Obama,Of all that I've done in my life I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad Happy Father's Day!https://twitter.com/michelleobama/status/876454925131288580 …
Obama,On this National Gun Violence Awareness Day let your voice be heard and show your commitment to reducing gun violence.pic.twitter.com/eXkV4WmkqA
Obama,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we love.pic.twitter.com/y7IQltbEz9
Obama,Good to see my friend Prince Harry in London to discuss the work of our foundations & offer condolences to victims of the Manchester attack.https://twitter.com/kensingtonroyal/status/868418451970379776 …
Obama,Through faith love and resolve the character of the people of Manchester has shown itself. Our thoughts & prayers are with you.https://twitter.com/justinwelby/status/867738559108837377 …
Obama,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.
Obama,Excited to hear from Sierra Imani Filiz and Benedikt who are making a difference at home and abroad. See you in Berlin!https://twitter.com/obamafoundation/status/866758362658111488 …
Obama,Happy Mother's Day to my love and partner on this journey @MichelleObama and to all the wonderful hardworking mothers out there.
Obama,We're rolling up our sleeves again back where it all started. Join us at http://Obama.org .https://twitter.com/obamafoundation/status/859830987198537731 …
Obama,Well said Jimmy. That's exactly why we fought so hard for the ACA and why we need to protect it for kids like Billy. And congratulations!https://twitter.com/jimmykimmel/status/859253161873125376 …
Obama,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.
Obama,Chuck Berry rolled over everyone who came before him – and turned up everyone who came after. We'll miss you Chuck. Be good.
Obama,On International Women’s Day @MichelleObama and I are inspired by all of you who embrace your power to drive change.https://twitter.com/obamafoundation/status/839584161442775040 …
Obama,Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them: https://www.obama.org/your-voice/ https://twitter.com/JFKLibrary/status/837318374233354248 …
Obama,We asked. You answered.https://medium.com/@ObamaFoundation/we-asked-and-you-answered-26de78979a64 …
Obama,Happy Valentine’s Day @michelleobama! Almost 28 years with you but it always feels new.pic.twitter.com/O0UhJWoqGN
Obama,I read letters like these every single day. It was one of the best parts of the job – hearing from you.https://nyti.ms/2jAhB2P 
Obama,In the meantime I want to hear what you're thinking about the road ahead. So share your ideas with me here: http://Obama.org 
Obama,Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation then we’ll get back to work.
Obama,Tonight President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: http://ofa.bo/2iYYkWQ  #ObamaFarewell
Obama,In the weekly address President Obama discusses what #Obamacare has done to improve health care.http://ofa.bo/2ebbyAo 
Obama,Let's keep working to keep our economy on a better stronger course.pic.twitter.com/bV2BVjyj7a
Obama,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. http://ofa.bo/2fn8oHC 
